date,domain,total_comments
2013-12-17,aliexpress,157
2013-12-18,aliexpress,267
2013-12-19,aliexpress,199
2013-12-20,aliexpress,74
2013-12-23,aliexpress,76
2013-12-24,aliexpress,39
2013-12-25,aliexpress,181
2013-12-26,aliexpress,79
2013-12-27,aliexpress,76
2013-12-30,aliexpress,347
2013-12-31,aliexpress,228
2014-01-02,aliexpress,200
2014-01-03,aliexpress,311
2014-01-04,aliexpress,40
2014-01-06,aliexpress,313
2014-01-07,aliexpress,362
2014-01-08,aliexpress,197
2014-01-09,aliexpress,278
2014-01-10,aliexpress,438
2014-01-10,ozon,40
2014-01-12,aliexpress,78
2014-01-13,aliexpress,237
2014-01-13,ozon,40
2014-01-14,aliexpress,119
2014-01-15,aliexpress,460
2014-01-16,aliexpress,394
2014-01-17,aliexpress,549
2014-01-18,aliexpress,199
2014-01-19,aliexpress,280
2014-01-20,aliexpress,279
2014-01-21,aliexpress,316
2014-01-22,aliexpress,432
2014-01-22,ozon,40
2014-01-23,aliexpress,155
2014-01-24,aliexpress,465
2014-01-26,aliexpress,120
2014-01-28,aliexpress,160
2014-01-29,aliexpress,39
2014-01-30,aliexpress,118
2014-01-31,aliexpress,39
2014-02-08,aliexpress,318
2014-02-10,aliexpress,234
2014-02-11,aliexpress,254
2014-02-12,aliexpress,319
2014-02-13,aliexpress,276
2014-02-14,aliexpress,237
2014-02-17,aliexpress,290
2014-02-18,aliexpress,425
2014-02-19,aliexpress,240
2014-02-20,aliexpress,449
2014-02-21,aliexpress,157
2014-02-23,aliexpress,39
2014-02-24,aliexpress,384
2014-02-25,aliexpress,158
2014-02-26,aliexpress,399
2014-02-27,aliexpress,278
2014-02-28,aliexpress,333
2014-03-01,aliexpress,158
2014-03-02,aliexpress,120
2014-03-03,aliexpress,200
2014-03-04,aliexpress,378
2014-03-05,aliexpress,276
2014-03-06,aliexpress,80
2014-03-07,aliexpress,158
2014-03-07,ozon,40
2014-03-08,aliexpress,197
2014-03-09,aliexpress,119
2014-03-10,aliexpress,355
2014-03-11,aliexpress,220
2014-03-12,aliexpress,496
2014-03-13,aliexpress,439
2014-03-14,aliexpress,390
2014-03-15,aliexpress,159
2014-03-16,aliexpress,118
2014-03-17,aliexpress,482
2014-03-18,aliexpress,439
2014-03-18,ozon,40
2014-03-19,aliexpress,431
2014-03-20,aliexpress,428
2014-03-21,aliexpress,534
2014-03-22,aliexpress,111
2014-03-23,aliexpress,154
2014-03-24,aliexpress,361
2014-03-25,aliexpress,710
2014-03-26,aliexpress,158
2014-03-27,aliexpress,279
2014-03-28,aliexpress,239
2014-03-29,aliexpress,80
2014-03-30,aliexpress,80
2014-03-31,aliexpress,438
2014-04-01,aliexpress,274
2014-04-02,aliexpress,345
2014-04-03,aliexpress,228
2014-04-04,aliexpress,424
2014-04-05,aliexpress,141
2014-04-06,aliexpress,80
2014-04-07,aliexpress,40
2014-04-08,aliexpress,496
2014-04-09,aliexpress,436
2014-04-10,aliexpress,416
2014-04-11,aliexpress,515
2014-04-12,aliexpress,79
2014-04-13,aliexpress,368
2014-04-14,aliexpress,237
2014-04-15,aliexpress,332
2014-04-16,aliexpress,316
